Email,Name,ID,Section,Gender,Age,Department,Study_Hours_per_Week,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
navya.sharma0@gmail.com,Navya Sharma,STU100000,B,Female,22,Mathematics,19.7,75.51,67.46,62.73,71.06,64.02,52.48,75.12,67.06,C
myra.roy1@gmail.com,Myra Roy,STU100001,E,Female,24,Engineering,26.8,88.21,63.69,67.46,75.32,61.04,59.65,85.45,70.73,B
navya.sharma2@gmail.com,Navya Sharma,STU100002,A,Male,24,Mathematics,10.5,71.74,51.18,51.77,59.63,68.33,42.66,65.82,57.43,C
reyansh.roy3@gmail.com,Reyansh Roy,STU100003,B,Male,20,Engineering,11.6,65.82,52.66,47.81,65.46,51.08,59.75,67.24,56.09,C
sara.singh4@gmail.com,Sara Singh,STU100004,D,Female,18,Mathematics,22.3,86.0,64.37,65.4,73.87,66.3,50.65,76.72,69.01,C
sai.sharma5@gmail.com,Sai Sharma,STU100005,E,Male,21,Business,25.2,88.33,62.89,81.55,78.07,69.73,66.14,84.12,76.28,B
riya.roy6@gmail.com,Riya Roy,STU100006,B,Female,23,CS,15.7,78.42,53.4,62.67,73.04,54.14,47.77,72.0,63.28,C
ananya.verma7@gmail.com,Ananya Verma,STU100007,A,Female,17,Mathematics,16.2,75.9,58.48,58.15,69.27,52.94,48.35,74.73,62.31,C
krishna.kumar8@gmail.com,Krishna Kumar,STU100008,B,Male,19,Engineering,24.2,89.53,63.22,64.37,71.39,67.27,57.49,83.88,69.61,C
vivaan.das9@gmail.com,Vivaan Das,STU100009,C,Male,22,Engineering,23.4,75.58,68.86,63.52,75.89,60.01,60.22,83.62,69.15,C
arjun.iyer10@gmail.com,Arjun Iyer,STU100010,A,Female,21,CS,15.5,78.25,59.24,63.47,61.07,59.93,59.24,74.25,64.25,C
diya.das11@gmail.com,Diya Das,STU100011,B,Female,24,Business,18.2,82.22,62.37,63.34,63.95,66.88,47.74,76.22,65.99,C
myra.singh12@gmail.com,Myra Singh,STU100012,A,Female,21,Engineering,14.3,76.75,48.34,57.51,64.36,58.56,48.19,62.02,58.72,C
